review_id,created,month,market,score,stream,escalated,deleted,duplicate_of,sku,product,category,subcategory,themes,owner,evidence
861864231,26-Jun-2026,2026-06,UK,5.0,LATENT,False,False,,COH-FOLD-070-2BK,FOLD Short Edge Pull Handle - Black,Handle,Edge Pull,Fixings & screws,PRODUCT,"but as expected, the quality was rubbish, and so I did what I should’ve done originally… pay a bit more for some handles of top quality. These exceeded my expectatations in every way; smooth edges, no rough bits anywhere"
861865035,26-Jun-2026,2026-06,US,5.0,LATENT,False,False,861864231,COH-FOLD-070-2BK,FOLD Short Edge Pull Handle - Black,Handle,Edge Pull,Fixings & screws,PRODUCT,"but as expected, the quality was rubbish, and so I did what I should’ve done originally… pay a bit more for some handles of top quality. These exceeded my expectatations in every way; smooth edges, no rough bits anywhere"
860674532,22-Jun-2026,2026-06,UK,3.0,EXPLICIT,True,True,,ASH-PULL-052-1AB,PULLMAN Hook - Antique Brass,Hook,Single Fixing Hook,Finish & colour mismatch,PRODUCT,"Nothing like the colour it shows in the picture , good quality but just not the thing, it’s nearly black"
858659373,15-Jun-2026,2026-06,UK,4.0,EXPLICIT,True,True,,CLB-KEPL-100-1AB,KEPLER Knurled L-Bar Handle - Antique Brass,Handle,L Bar,Returns & exchange friction,OPS,"Absolutely great product just very slow to exchange, wish I had returned for a refund and ordered the new handles to save time."
851164640,6-Jun-2026,2026-06,UK,5.0,LATENT,False,False,,CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Fixings & screws,PRODUCT,slightly longer to go through my wardrobe doors
851164747,6-Jun-2026,2026-06,US,5.0,LATENT,False,False,851164640,CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Fixings & screws,PRODUCT,slightly longer to go through my wardrobe doors
846136985,1-Jun-2026,2026-06,US,1.0,EXPLICIT,True,True,,ADH-LEVI-080-1AB,LEVI Hook - Antique Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,Sorry but the screws sent will not hold this hook in a plaster wall. It is too heave for them.
840016117,18-May-2026,2026-05,UK,5.0,LATENT,False,False,,ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Size & dimensions,PRODUCT,"However, they were too small for my project."
840016115,18-May-2026,2026-05,US,5.0,LATENT,False,False,840016117,ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Size & dimensions,PRODUCT,"However, they were too small for my project."
835451916,1-May-2026,2026-05,UK,5.0,EXPLICIT,False,True,,ADH-HOFF-150-1BR,HOFFMAN 150mm Hook - Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,"These brass hooks feature sleek, clean lines and are significantly weighted. The included brass screws and anchors make installing them easy."
830644754,16-Apr-2026,2026-04,UK,5.0,LATENT,False,False,,KTH-CKN-FELI-025-1AB,FELIX Hook - Antique Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,"but putting it to use in another project. My only other piece is that my cupboard was wider than the bolt provided, so I'll have to source longs options separately"
830645263,16-Apr-2026,2026-04,US,5.0,LATENT,False,False,830644754,KTH-CKN-FELI-025-1AB,FELIX Hook - Antique Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,"but putting it to use in another project. My only other piece is that my cupboard was wider than the bolt provided, so I'll have to source longs options separately"
827980518,7-Apr-2026,2026-04,UK,1.0,EXPLICIT,True,True,,CDB-BOBB-175-1BG,BOBBIN Handle - Burgundy,Handle,D Bar,Coating & durability,PRODUCT,"Chipped and visible gold underneath, clearly just sprayed burgundy that chips off"
826898310,5-Apr-2026,2026-04,UK,4.0,EXPLICIT,True,True,,GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,"Looks great, good quality and adds finishing touches to the room with the brushed brass sockets from Plank. It’s a tight fit in a 25mm box and I didn’t quite understand diagram 6 in instructions but got there in the end "
826221876,2-Apr-2026,2026-04,UK,4.0,EXPLICIT,True,True,,GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Coating & durability,PRODUCT,The plate was scratched and I had to order a new one
824501541,29-Mar-2026,2026-03,UK,3.0,EXPLICIT,True,True,,GB-KIT-EDIM-KEPL-1G-1AB,KEPLER 1G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Grip & usability; Installation difficulty,PRODUCT,"Looks good, quality is fine  Installation is fiddly, the sticky pad which clips the module to the frame is not strong enough and constantly pops off during install. The plastic lugs of the connecting plastic piece are aw"
824501366,29-Mar-2026,2026-03,UK,3.0,EXPLICIT,True,True,824501541,GB-KIT-EDIM-KEPL-4G-1AB,KEPLER 4G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Grip & usability; Installation difficulty,PRODUCT,"Looks the part but fitting is fiddly, the sticky pads which the control modules attach to are not strong enough   The unit looks good but really not keen on the quality of the clip in sticky back piece which is awkward t"
823365840,25-Mar-2026,2026-03,US,3.0,EXPLICIT,True,True,,CDB-GRAY-111-1AG,GRAYSON Handle - Aged Brass,Handle,D Bar,Unclassified,PRODUCT,We did not receive a packing list or any tagging on the order.
822311360,22-Mar-2026,2026-03,UK,5.0,LATENT,False,False,,GB-KIT-ETOG-KEPL-1G-1BR,KEPLER 1G Knurled Toggle Light Switch - Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,"disappointed. I got an electrician to fix them as i don’t like messing with electrics, but he found them easy to replace"
821642423,20-Mar-2026,2026-03,UK,2.0,EXPLICIT,True,True,,KTH-KH-REVILL-25-BR,REVILL Knurled Hook - Brass,Hook,Single Fixing Hook,Fixings & screws; Grip & usability; Weight & material feel,PRODUCT,"The brass knob itself feels nice, the knurling is satisfying and the product feels weighty. Unfortunately, it is not suitable for its intended purpose - it is designed as a hook, but the screw fitting supplied that is co"
821320340,19-Mar-2026,2026-03,UK,4.0,EXPLICIT,True,True,,ASH-PULL-052-1AB,PULLMAN Hook - Antique Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,"Looks good, easy to fit, mounting pieces are a bit small for something that would be truly load bearing but it's decorative in our case so no issues."
819476471,14-Mar-2026,2026-03,UK,3.0,EXPLICIT,True,True,,CBH-BLAK-150-1AB,BLAKE Handle - Antique Brass,Handle,Solid Bar,Size & dimensions; Grip & usability,PRODUCT,Beautiful but comically difficult to hold if you are to use it as intended as a drawer pull. It’s not deep enough to have any sort of grip so you end up almost having to pinch it to open the drawer.
818679993,12-Mar-2026,2026-03,UK,1.0,EXPLICIT,True,True,,CST-SQUI-060-1PN,SQUIGGLE Single T Handle - Polished Nickel,Handle,Single T,Breakage & defect,PRODUCT,Awful! Snapped clean off when tightened!
818679895,12-Mar-2026,2026-03,UK,4.0,EXPLICIT,True,True,818679993,CST-SQUI-060-1BR,SQUIGGLE Single T Handle - Brass,Handle,Single T,Breakage & defect; Value for money,PRODUCT,Awful! Snapped during tightening! What a waste of money!
816608433,5-Mar-2026,2026-03,US,3.0,EXPLICIT,True,True,,KH-KEPLER-160-BR,KEPLER Knurled T-Bar Handle - Brass,Handle,T Bar,Fixings & screws,PRODUCT,These were worth it! We knew we wanted to knurled hardware because we wanted its texture and feel. It was tough finding a knurled handle in the right soft style but so glad we splurged and took a chance with Plank. Reall
816569102,5-Mar-2026,2026-03,US,1.0,EXPLICIT,True,True,,HK-LEVI-80-BK,LEVI Hook - Black,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,"These hooks are perfect for our home’s midcentury look! We are using in our entry as coat hooks and they are well made, heavy and so sleek. Easy to install and come with necessary screws. So happy with the quality and th"
816504287,5-Mar-2026,2026-03,US,1.0,EXPLICIT,True,True,,KH-BECKER-170-BR,BECKER Grooved Handle - Brass,Handle,D Bar,Unclassified,PRODUCT,I am very impressed with the Plank cabinet pulls I ordered for my new custom built-in closet.   They feel weighty and solid in hand. The quality is apparent.
806641948,8-Feb-2026,2026-02,UK,3.0,EXPLICIT,True,True,,GB-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Finish & colour mismatch,PRODUCT,"My only issue with this pendant is that the bulb bought from plank seems to leave an orange tint on the bottom of the glass, making it look like something is trapped inside the glass itself.  Other than that, it looks ni"
804124809,30-Jan-2026,2026-01,UK,4.0,EXPLICIT,True,True,,GB-KIT-ETOG-MAXW-1G-1AB,MAXWELL 1G Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,The product finish and feel is very good. The system for the wires and how it holds into the backing plate is poor.
802206413,24-Jan-2026,2026-01,UK,5.0,LATENT,False,False,,GB-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Fixings & screws; Installation difficulty,PRODUCT,"but none seem to look quite as nice as this one. The fitting itself seems to be good quality, and not too heavy which means the fixings will work on just about any ceiling.  The installation itself was easy enough, altho"
801535271,22-Jan-2026,2026-01,UK,1.0,EXPLICIT,False,True,,GB-KIT-ETOG-KEPL-2G-1AB,KEPLER 2G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Missing parts & availability; Delivery; Customer service,OPS,"Awful, no one answers emails or telephone calls, delivery missing parts of the order."
801433835,21-Jan-2026,2026-01,US,3.0,EXPLICIT,True,True,,US-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Value for money,PRODUCT,"Great lights for the price! I really like the look, but unfortunately, they hang crooked and I can't seem to get them straight. That is my only major issue. I'm open to suggestions on how to fix this and would gladly imp"
795532611,1-Jan-2026,2026-01,UK,3.0,EXPLICIT,True,True,,HK-LEVI-80-BK,LEVI Hook - Black,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,"Quality of the handels is good, however the scews supplied are really soft and rounded off. A plasterboard screw is too thick to pass through the hole, so i had to redrill the pre drilled holes to increase the diameter"
794011394,26-Dec-2025,2025-12,US,1.0,EXPLICIT,True,True,,CBP-COHE-156-1AB,COHEN Handle Backplate - Antique Brass,Cabinetry Accessory,Backplate,Delivery; Customer service,OPS,"HORRIBLE. THEY NEVER SHIPPED MY ORDER AND WHEN I SENT AN EMAIL TO CUSTOMER SERVICE, THEY NEVER RESPONDED"
